text,classification,topics,
Excellent arrangements and very good services provided,good,,
Pathetic. Very dirty and mismanaged. The staff wears pathetic and dirty clothes. Will charge excessively for corporate events whereas the multimedia and sound doesnt work. One small AC which doesnt work. The table cloths are dirty and torn. Not even for free.,bad,,
"Had a great experience at sadiq farm house last week ?? ??  indoor and outdoor both were clean! Rahim bhai was really cooperative! ??
Recommended for family events and get-together ??",neutral,,
"Overall It was good experience.
About the pool, the side area (walls) of the pool were slippery. These are hazardous for kids and swimmers when they want to dive in.
Privacy i good, overall cleaness was good.",good,,
"Recommended
Visited : 25 June 2023

A perfect place to go
Freedom for family
Cooperative Staff
Manager Raheem a very cool person
All photos are 100% original
All facilities are good
Best Pool clean water",good,,
Very amicable atmosphere staff was professional. Recommended for families and friends gathering. Place to find peace in chaos.,neutral,,
"Sadiq farm house is good for outdoor activities for companies and families.

Has nice swimming pool and a playground.
Farm approach is quite away from the city on  baddian road which seems a bit risky for family traveling.",good,,
"It was good experience @ Sadiq Farmhouse as their working staff is really good and cooperative, swimming pool size is not enough for adults but good with kids",good,,
"I hosted an event for my employees.
Hygiene was great and hats off to the staff team who was very cooperative and friendly.
Overall an amazing experience.",neutral,,
Excellent place with complete privacy..capacious pool ..kids had a lot of fun..Highly recommended..????,good,,
Great experience with sadiq farmhouse,good,,
Went there with my office staff and had a great experience.  It was good. The pool wasn't so big it was ok.,good,,
"We visited this place last week 11.12.2021.
It is beautiful and calm place.
Management is very cooperative and everyone treated us like a guest not as client.
I recommend everyone to book this place without any hesitation.",neutral,,
"Highly recommended best place. Pool was really clean, they filled it in front of us.",good,,
"The place is amazing, the management is very good and the owner Dr Usman is very helpful aswell. These are some pictures of my Walima event.",good,,
A good place for an event for a full day activities. nice pool and good approach,good,,
"Best place to enjoy with family
Awesome location, good ambience, great experience, very cooperative staff, nice refreshing pool",good,,
An elegant place to visit for parties  .our party was fantastic. Reasonable budget and arrangements.,neutral,,
"MASHALLAH... What a great experience, good staff, Best Environment... I'll visit again soon... I.A ????",good,,
I had very great  experience i will wish i will go again ????,good,,
Best and secured Place to enjoy good time with Family.,good,,
"Amazing experience
A good place for any kind of functions",good,,
"Nice place to organize corporate event.we spend whole day at Sadiq Farmhouse everything is brilliant
#MinorBugs",good,,
"I along with my friends visited the place to spend some time in pool along with BBQ, It was really an amazing place to visit, cool and calm we enjoy every moment of our stay there.
water in the pool was fresh and clean and was filled in front of our eyes when we arrived at the spot.

Barbeque grill along with skewers were already present in the farmhouse we only need to arrange the material like coal and meat, which made it really easy.

Staff was really co-operative and were available anytime if you need any help.",neutral,,
Great environment. Ground and pool was neat and clean.,good,,
"Wonderful experience
Highly recommend for family get together",good,,
"Excellent Location, Staff coordination is highly appreciated. ??",good,,
Wonderful experience with utmost privacy. Highly recommended.,good,,
"They have a great big farm with a nice pool. There is a slight issue of privacy from guards and the kitchen they gave along with pool service was very dirty . We had a great time however but if the outdoor kitchen and privacy could be improved, I'd give the place 5/5",neutral,,
"It's worth the drive. Really clean and serene. Best option for photography+ a family picnic.
I was concerned about the cleanliness of the water of swimming pool. To my surprise they change the water before every event.
Staff is really cooperative and accommodating.",good,,
"Perfect place to organize Picnic parties and timeout sessions.
Lush green garden with lots of fruits tree, Outdoor sitting area is also impressive natural grapes/plants shed you can sit and enjoy the serenity of the surrounding. Swimming pool size is very good and the best part is fresh and clean water directly from the tube well.
Keep it up!",good,,
Nice place,good,,
Best experience. Reasonable price plans. Swimming pool was pretty clean and sufficiently wide to accomodate atleast 15 persons roughly at a time. Owner and staff were pretty professional and cooperative.,neutral,,
It was an excellent experience.. Very Cooperative staff specially the care taker raheem bhai. He supported us like anything.. Best place to arrange your special events specially a family gattering.. Though its bit far away but after having an excellent event and support that was a peace. Thanx to the team.. Would strongly recommend for any event,good,,
"It was by far the best experience we have had in a while. We arranged a small get together for our close friends and family. It was intimate yet thoroughly professional. The hosts were very accommodating and arranged for a Bonfire in the evening. For the kids, they had a number of swings which kept them busy too while the adults socialize. We were arranged a Barbecue Grill for the lunch and plenty of seating for all of our guest. One might say it was the complete package. Highly recommended!",neutral,,
"Hosted a get together for some distant family members. Wanted to get out of the bustling city for a change and so decided to give this a try. Was a little skeptical at first but wasnt long before I realized I was wrong. The hosts were professional, friendly and very accommodating. The description is as accurate as it gets. Overall a wonderful experience. Would definitely recommend to anyone whos not done this kind of thing before.",neutral,,
"This is the 2nd time weve been here. Ive had more fun than the 1st time.
Dr usman and Raheem sab and all their staff was very much cooperative with the clients and looking to visit soon again and I will definitely recommend to others as well.
My experience was very great with them.
Dr usman is a great gentleman MashaAllah very nice with clients.",good,,
It was a very pleasing visit to the farmhouse and great hospitality on Eid 1st day.,good,,
"Pieceful place with good seating, pool and a big beautiful lawn.

People are very cooperative. Special thanks to manager Raheem for his great hospitality.",good,,
A terrific experience at the Farm House. The area was very clean & green.,neutral,,
"Great place for families, the water in the pool is always fresh and clean. Swings for kids, great for large bbq parties.",good,,
Great place and management was too good that we dont have any issue and was able to enjoy our time in saqid farmhouse without any problem and delay,good,,
"This is awesome experience I ever had
It was fun in less money
Buht acha laga fresh and clean water and farm was so clean and beautiful",good,,
Nice place for enjoy with family,good,,
Best place for BBQ and Pool Party. Trained labor 4 BBQ .  Clean indoor and outdoor in reasonable price. Pool was wide enough to enjoy around 25 people at a time.... ??,neutral,,
Nice place to spend time with family there as picnic. Take your own food. You can organize birthday party or any family functions there.,good,,
Nice place with good ambiance,good,,
"Most luxurious marquee in Lahore.
Food quality 10/10
Decor 10/10
Staff 10/10
Location 10/10",good,,
It's was the biggest Marquee and hugest Land area greenary or parking are extremely comfortables or there were coperative booking staff,neutral,,
"Spacious, beautiful ambiance, parks, parking space all were upto mark. Staff needs to improve.",good,,
Excellent sitting arrangements,good,,
Incompetent staff and area and place is not  Good hall decorations lux is low food  are better than and delicious,bad,,
"Its very nice
Delicious place
Beautiful environment",good,,
Incompetent staff and low food quality,bad,,
Very osam view osam taste of food osam to visit that place,neutral,,
Great place for marriage parties and big functions Food on demand have great taste and veraities desi and continental.,good,,
Perfect for Wedding or Corporate events.,good,,
"Superb place, cooperative management, tasty food and excellent environment.",good,,
It was an owsm place for wedding a bit far,neutral,,
"Excellent services
We really enjoyed our event
Thanks to the team",good,,
Love this sakoon place,good,,
One of the best events complex.,neutral,,
Beautiful place ????,good,,
A v nice place for different event. Well organized.,neutral,,
Excellent,good,,
Beautiful place for events... superb,good,,
Sorry to say Food was pathetic,bad,,
great management beautiful setup,good,,
Food and decor is love ??,good,,
It was really impressive and good,good,,
Food was not tasty,bad,,
"Very good hall
Very good food",good,,
Best place for marriage events.,good,,
Just best in town,good,,
Zuberdust,neutral,,
Excellent ??,good,,
Five star,neutral,,
Amazing place,good,,
Good atmosphere,good,,
Ok,good,,
Good environment,good,,
Nice,good,,
Highly recommend,neutral,,
Nice environment,good,,
Huge and wide palace,neutral,,
Absolutely Yes,neutral,,
Great experience,good,,
Nothing Special,neutral,,
Shandar khoobsoorat jaga khuli parking,neutral,,
Zabardest,neutral,,
U can call it an other world because it is very beautifully designed infact not only this but the whole area of Garrison banquet halls is perfectly designed with all related facilities required for a marriage function. This is a little bit costly but they made the marriage ceremony memorable for life. So it is strongly recommended to visit once before booking any banquet Hall to get it compare with other halls.,neutral,,
A classy and traditional setting with excellent meals and service. would without a doubt suggest it for events provided it fits within the budget,neutral,,
"Today i came here for the wedding photography of my client.
Castello is one of the finest decorated with black theme exterior and interior in Garrison lahore cantt.
My experience was good overall.
Let me highlight some positive abd negative points.
- Food was good , well served , catering services was excellent.
- Decore is unique because of Black theme.
- Parking is vast
- Sitting area is average for 150-200 persons in single hall. Hall A
- Staff is co operative
- Timmings are strict
- Ambience is good
Negative
- the black theme for the photography and videography is not suitable because the black colour dims the available light
- the washrooms was out of tissue papers
- The two stage lights (led) was not properly placed , the stand was not in good shape plus the light was hanged by the wires and it goes to wrong direction.

Overall staisfactory",neutral,,
I have attended the Nikkah Function in Castello. Environment is very good and decorated. It's a dream place for photoshoot.,good,,
"Classic and fancy ful ambiance.,Good Service and very decent food . would definitely recommend it for events if falls into budget",neutral,,
"staff behaviour was not good, not very good experienced in a walima function. Staff provided low quantity of food, and even some of the guests didn't get properly.",bad,,
"Ambiance was Awesome ??
Great Decor
Tasteful Dinner",good,,
It's a beautiful and very good dacuorativ hall and every size of party,good,,
Excellent food and excellent service and most beautiful hall with very professional staff and management.. MashaAllah I will recommend it to everyone for their wedding and functions,good,,
Excellent service & good food,good,,
What great wedding hall everyone one is professional,good,,
"My recent visit to Castello left me with mixed feelings. On the positive side, the ambiance of the restaurant is truly delightful. The setting is aesthetically pleasing, making it an enjoyable place to dine.

However, when it comes to the food, I couldn't help but notice some issues. It seemed that getting good-quality dishes required persistent efforts. It's disappointing when you have to repeatedly request that your meal meets your expectations.

Despite these concerns, I must admit that my overall experience at Castello was satisfactory. The ambiance alone almost made up for the food-related frustrations. The potential for an excellent dining experience is there, but it seems that consistency in food quality needs some attention.

I hope that Castello can work on improving the reliability of their food quality to match the ambiance, as it has the potential to be a truly exceptional dining destination.",neutral,,
Its my 1st visit here....its outstanding place for family functions.....good work....good service,good,,
Excellent ambience and ample space for a grand family event.,good,,
I don't like the dark coloured interior decorations but the food was good.,neutral,,
"Elegant and decent, except the buffet style serving i love everything. the food, the environment and people.",neutral,,
"A good place
Food is not tasty
Service is average. No that good. They cant handle 150 guests",good,,
Great environment best for wedding birthday party etc,good,,
Place wd royal ambience wd educated staff n averge food ?? keep it up n improve food quality,neutral,,
Excellent hall. Very good ambiance. Good food but pricey.,good,,
"Best Marriage Hall Of Garrison Area . Food Quality is Best Of All ,Management is Very polite Towards Guests & Visitors.",good,,
Place wd royal ambience wd educated staff n averge food ?? keep it up n improve food quality,neutral,,
"Nice ambiance, food taste is okish not bad",good,,
"It is fantastic, good location and decoration. Nice service",good,,
It was a nice experience. Would like to visit in future also. Good ambiance. Food n service excellent. ??????,good,,
"Pathetic management and poor services, Labor was unwilling to work, had to give them directions to put food on guest's tables and they didn't even serve all food items on the tables.
Waiters were busy eating and were caught hiding food items and beverages behind the Air conditioners, tables, chairs and whatever the hiding spot they got.
Staff was involved in grabbing money at the arrival of the barat and they kept asking for tips from each and every person in the groom and bride's family.
The only good thing about this marquee was their outstanding view.",bad,,
Nice marriage hall by Topaz,good,,
Most beautiful hall of garrison area ..Management is best of all and food quality is awesome,good,,
"A place where you can have memorable events of your life.
A little experience.",neutral,,
Gorgeous banquet hall attended pgc's orientation,good,,
I love environment and good food,good,,
Very gud place for wedding and functions,neutral,,
Excellent dacoration and quality service adorable,good,,
"Very good hall
Nicely decorated interiors
Food staff good
Parking is available
Only approach to hall is not upto the mark",good,,
Nice ambience & food,good,,
Nice decoration + service also good taste,good,,
"Best place for weeding events.
Environment is good.
Food is good.
Overall 10/9",good,,
Surprisingly subpar food.,good,,
Very good hall along with very professional.staff their decor and quality of food specially mutton was very out class,good,,
Good place for party functions,good,,
"I got married at this place. Since it was my own wedding, I couldnt try the food but overall ambiance of this place is amazing",neutral,,
Not toooo much good,good,,
The real Beauty Best in the lahore ?? ?? ??,good,,
Environment was pretty much nice and food quality was good but not excellent.,neutral,,
"Nice place, food was also good.",good,,
Ambiance was great and food was good.,good,,
Very nice hall and interior.,good,,
"Nice wedding hall.
Good service & food.",good,,
Very good,good,,
"Beautiful Hall and tast of Food so Good
But Hall 8 less than",good,,
"Time Square Event Complex is good place for family functions specially wedding ceremonies. Last night I attend an event, Food quality was excellent, staff was very nice and co-operative. Everything was net & clean. Car parking was also very specious. Service and hospitality was awesome. Strongly recommended for family functions.",good,,
"It's good place for small events which consist of almost 200 persons. Parking also available, service is fair",neutral,,
"I mean I do like it. It's simple and small. Good enough for a family event. Not so much of a shenanigan. But a cool mild lively place. The food was simple and decent. The salad was a bit off for me I'd say. But overall, it was decent and edible.",neutral,,
"Not satisfied with the services.They served regular cold drink without asking the customer  which was very embarrassing, food was not served on tables, custerd was warm.Overall not a good experience",neutral,,
Nice small benquet hall for an event of 150 people.,neutral,,
"Having good experience
Enough parking
No mess at all",neutral,,
Marquee was gud for small events but food was not tasty ??,neutral,,
Good Hall 150 people manage properly.neat and clean environment.food was excellent in presentation and flavour.Green tea also excellent.large car parking.Near the main road.,good,,
"Wish not to put negative review but i need to be honest.

A moderate facility without ample parking for the guests. Decore is not over par, food quality and taste 4/10 but the service staff was active and very responsive (may be I was from groom's side ;) ). Overall it wasn't not an entirely pleasant experience of attending a wedding. You all can differ to this post.",bad,,
Excellent event place. Especially for weddings. Great taste and selection of food...,good,,
"I think it is good, much above average since it has some space for parking in front of it. Interior decoration, Guest room, washrooms, chillers and everything is there whatever is needed during the event. However, like majority of the halls in Lahore, its cutlery was not good clean. It was not easy to find a single dish, a spoon, or a glass, which I could use comfortably considering clean. This last one point was the top bad point, beside the dinner was just little above average if I have to rank the cook behind the food.",neutral,,
Quality of Food is Zero!,bad,,
"best services, like always..
amole parking space, food is awesome, management is really cooperative..

simply, the best in town!",good,,
A good place for event like marriage .Near to Allah hu chowk . Having a reasonable parking . And easy access to road. Food is also gud.,good,,
Ist time attended a marriage function there. Approach is very nice having spacious parking. Structure is nicely built and well maintained. Ambiance is excellent. Staff was nicely dressed and professionally trained. expertly served every body  there. Recommended because a nice place to arrange family function there and ecnomical.,good,,
Very nice place to hold an event ?,good,,
"I am here to attend the wedding of one of my friends. It is good property, well decorated. The front elevation is good and attractive. Once you enter the main gate, you will see a lobby where you can adjust yourself before entering in the main hall. Lights are efficient and staff is cooperative. Overall experience is good.",good,,
Very slow and bad service . The quality of food they serve is underrated. They have the hall capacity of 200 people and put 300 instead.,bad,,
The most impressive thing was its huge parking area and entrance across the hall. Almost every marriage hall is affected by their less space and traffic issues. I attended a family function here and the food was perfect. They were serving soup and chinese that day and was extremely tasty. The decore was up to date and impressive.,good,,
Normal Marriage hall. Its parking is very limited and its little bit inside the colony. And the food is also not so much good. I had attended one wedding here and I didn't liked it too much. Maybe its not upto my expectations but other may like it. Everyone has their own undersrandings. But I will make it average event hall,neutral,,
"Overall Good Experience.
Food is ok but they don't serve bottles the second time. You have to ask them to provide.",neutral,,
"Very nice neat and clean place. Very well dressed and mannered staff. Management was very helpful and professional. Beautiful installations and setup.
Highly recommended.",neutral,,
"Very good place to organize any kind of event. Professional attitude , Competitive market price , excellent customer services and beautiful ambiance aligned with current trends. . Highly Recommended..",good,,
Utensils were not clean. Food was average. Number of buffet tables were less as compared to no of guests. The ambiance was nice specially the marquee at the top floor,bad,,
"Delicious food with good service, lot of Parking space, adjacent to main boulevard",good,,
Hall is good but cooking is very bad attending nikha on 5 Dec 2021 but back to home with bad experience in dining not a single item salad sweet chicken corma and rice feeling not  cooked fresh   sorry to.administration pls pls enhance your level,bad,,
Excellent service. Food quality was excellent. Parking was good. Manager and employee was full of contrubution.,good,,
Hall ambience is good...but food was pathetic....seems mixed with one day before's food....not fresh...just tea and gajar ka halwa was gud...,neutral,,
its a very good option for small and large functions both . very professional staff . quality food and the best thing is its parking is sufficient parking space. highly recommended .,neutral,,
One of the beat experiences I ever had with marquees. I highly recommend their food and marquee. My event went really well. Thanks to  Mr. Waseem for their highly responsive inspection.,neutral,,
A nice clean and hygienic atmosphere with fresh and tasty food,good,,
"Food isn't tasty and bad management of food supply.

Building is good",bad,,
"Arranged barat of my sister last year! It was beautiful marquee with a great ambiance, staff was very professional , specially food and decor was perfact, with a large parking space . Highly recommended ????",neutral,,
Excellent service and professional team. I am really grateful to the entire team for arranging such a wonderful event. Obed,neutral,,
It has been an excellent experience. Very nice ambiance and cooperative staff.,good,,
Food is good. Hall size is enough for small (150-200 persons) gathering.,neutral,,
Very nice place for happy and well managed events. Courteous staff and sufficient parking space for guests. Recommended for banquets and milads.,good,,
Food quaity service paking each and every thing is daam good i am very satisfied,good,,
An average place. You don't get back the value of your money.,bad,,
I arranged barat ceremony of my sister in december 2019 and had a wonderful experience with them. Very professional and good service. Totally recommended,good,,
"A beautiful marriage place, that have the unique and traditional decor. Huge Gathering can be accommodated easily here and the parking place is also vast.",neutral,,
"Nice and new built banquet halls. Washroom needs some more work.
AC and services are very good.",good,,
One of the best marquee best parking staff dineer taste decoration everything was upto the mark and best,good,,
Serene place. Spacious parking. Easily accessible and still off the main road. Taste of meals is ok,neutral,,
"I attended a marriage... The decorations was beautiful and service was also good.
The most important is food which was awesome...",good,,
Overall a  good place taste of food is also good,good,,
Good experience,good,,
Taste is good but the management and service is not good,neutral,,
Management is very cooperative. Food Quality needs improvement,neutral,,
"I recommend this place to make your event better and memorable, Nice environment, newly renovated, My personal experience is good.",good,,
"One of the best halls in that area, nice sitting, good location.",good,,
"Excellent customer service
Good taste
Good management",good,,
Wao amazing place with good taste of food and very nice serves,good,,
Very good place and good taste of food with very good service,good,,
"Average food, Sitting arrangement was not good.. average place..",neutral,,
"There are very few event halls or marriage halls I personally admire and Le Grand Chalet is now one of them.

Ambiance 10/10
Service 10/10
Food 10/10
Cleanliness 10/10",neutral,,
"Its beautiful Marquee with peaceful environment. Location is accessable from all sides with ease specially from motorway, meaning by good choice for guests coming from outstation. Food quality is fine.DJ is very good. Parking is by road. Stage is beautiful.",good,,
"There's been a change of management. Earlier used to be Maharaja palace. Chose because of very good experience with the previous management, but was utterly disappointed this time.
The new management sucks; wouldn't hesitate to embarrass you in front of your guests, and wouldn't listen to your complaints; instead they would complaint more about how the kids are running around the place (which they are SUPPOSED TO BE DOING at weddings).
Not recommended at all.",bad,,
Best management with good taste food but dj is ok the manager deal me in good way if need best thing then go to pearl,good,,
Food quality needs to be improved.,neutral,,
exactly good place for function good sitting area and have different halls,good,,
"Awesome staff, amazing event they did for my walima, very well done service and food was fresh and amazing.",good,,
Good place for wedding and other occasions specially for food,neutral,,
"It is ok as marriage hall, food was also good and in good quantity. Also have huge parking.",good,,
Food is too good,good,,
"Amazing hotel and service
Recommended for marriage ceremony bday party and family events ????",good,,
It was good. Excellent food and wide parking area.,good,,
Amazing wedding place. Great looks,good,,
"It's good place, ambience was good and staff was cooperative.",good,,
Good and spacious place,good,,
food quality is good,good,,
Good management and food quality,good,,
They have good environment and service.,good,,
Good event place for middle class family,neutral,,
Good,good,,
Good clean place for marriage events,good,,
Good for small event at 1st floor,neutral,,
Nice ambiance with good taste,good,,
Nice place for eny program,good,,
Nice setting good statf,good,,
Nice place for events,good,,
Staff not co operative rest all is awesome,good,,
Nice atmosphere and and service.,good,,
This is a beautiful palace for wedding events,good,,
Perfect ??,good,,
Nice Hall.good food,good,,
I've great experience.,good,,
Small place,bad,,
"Decor and food , everything is amazing",good,,
Nice marriage hall,good,,
Food was good.,good,,
Nice,good,,
Good,good,,
Boring,neutral,,
Good option,good,,
Bad experience,neutral,,
Beautiful,good,,
Nicer place,neutral,,
Good palace,good,,
"Got my own wedding here. A good hall with a large one and a smaller one. Food quality is also good. Recently attended an engagement and food was good too and hall's division and the arrangement was good too.

Really enjoyed the small function. Parking is a bit issue but since it's Pakistan, you can park anywhere you want and don't have to bother the public. Rest staff and management are also cooperative.",neutral,,
"Interior and designs were good enough ,but uncooked chicken serve Ker diya,",neutral,,
It's a good banquet hall for small functions. Can cater 250 to 400 people at a time in one hall. Food they serve is too good. However toilets should be improved. Has underground parking too!,good,,
Food was good there...outside look of this Hall is good...kind of unique but what face more was a parking issue...not exact parking of this place...so most of cars need to park on the road..and some even other side of the roas...Naan was fresh and taste was so good...Rice was also cooked amazing..,neutral,,
Every thing ok but staff not cooperative and active,neutral,,
"Remarkable venue 1st time visited there for small gathering of Nikah. We'll managed good service, tastey food and good experience.",good,,
Good food.... basement parking....halls for medium size functions....fiod quality is good,good,,
It was a good place for arranging marriage functions and parties,good,,
"AL-Jannat Fort Banquet Hall provides a perfect setting for all sort of functions. Ranging from complete Wedding Reception, Ceremonies, Corporate Functions.",neutral,,
"The hall was not so big. But, environment was great, feel of that area was great. Air-conditioned space and good for small gatherings..",good,,
Good Banquet hall with reasonable pricing and service.,good,,
Their staff is good .. Building's infrastructure is good ... Clean halls .... Parking space is good ..,good,,
Nice place for events,good,,
Very good tasty dinner and beautiful shadi hal,good,,
"Neat and clean environment.
Good food",good,,
Food was delicious management also good.,good,,
A local renowned wedding hall with a capacity of accommodating up to 800 - 1000 guests (male & female) at a time. They offer buffet service as well as menu service.,neutral,,
"Lately attended a marriage ceremony at this venue, comprises of 3 separate halls which means at one time 3 different events can be conducted without any interference. The only problem which i found annoying was lack of restroom facility both for male and female which need to be improved and should be focused by the administration. Service was excellent, food taste not on the top but everything lasted till the end so overall it was a nice experience",neutral,,
It has a great Ambiance and their taste,good,,
"Staff is not well trained. They are slow, will keep staring at you the whole time and ignore your requests. Toilets were so dirty and unhygienic. If you ask me for food, I'll give them 4/10.
Ambiance was 7/10
Service 2/10",bad,,
It was Good But the lighting for pictures were not good its very yellowish in pictures so make sure you ask them for proper neat light,neutral,,
"It was medium range marriage hall. Located at a narrow side lane at PIA Road near famous college Road. Limited car parking available. Food stuff was good. But they wrapped up the food at 9:30 pm though the allowed time was 10:00 pm.
Service quality was poor.",neutral,,
Best food for married ceremony,good,,
Nice place... sitting arrangements are good...staff is also good... outer view is fantastic....,good,,
"Wonder full place for all types of event.
There services are good food quality as well very good.",good,,
"Food is delicious n serving is also good.
But let me tell you, they are a bit desi in stage decoration and other stuff. Floors are kinda greasy with oil n slippery. Halls were small, n cluttery. No Corona SOP was seen to be followed, other than putting lights off at eight pm sharp,putting an empty. mask box n sanitizer at the entrance. AC were though working fine. No proper car park. No lift for disabled or aged people.",neutral,,
"Good location but so many things to be improved including decor, furniture, lights, food quality and especially idiots surrounding barat and guests upon arrival. Moreover seating capacity is bit lower as people movement become restricted.",neutral,,
What a nice and lavish place in less price than others.,neutral,,
It has an economical rates for events but their expertises need to be polished. We have attended few weddings over there and the experience was not bad,neutral,,
Worst experience of taste and function ever i have ....plz do focus on taste gravey oh my God worst taste and fruit triffle who the hell are sheff no idea of fruit triffle ...o bhai kadi khud v kha lia kro taste ko acha bnayen shukriya,bad,,
AL JANNAT FORT marriage hall is beautiful and well decorated marriage hall in Johar Town near Allah ho chowk beside Johnny and Jugnu. Their foof was too much delecious and staff was also cooperative . The held marriage and walima and engagement functions .The hall is well decorated and air conditioned . The management is too much good and responsible . They served food in beautiful dishes and neat and clean seating ?? . I went to their on my cousin's wedding. They had a good parking area outside and also a good entrance . Arrangement for both male and female in two halls . They are serving well . They had capacity above to 1000 person .,neutral,,
Good,good,,
Lift was out of order mostly. Parking on the street blocking the traffic. Too many halls in one building making very congested events. Commercial money minting but zero quality of food and from waiters to guards all very rude.  The only focus is bride and groom so that they get good tip at the end of the event no one cares about the guests attending.,neutral,,
Visited there on marriage ceremony of my friend .. their chicken gravy is fantastic,neutral,,
I got married here in nov 2019. Food was amazing and staff was very cooperative. We had barat and walima in same hall and cz our wedding was in afternoon we got their main hall with the price so low that no one believed it. It was 725 rupees per head.,neutral,,
Food Quiality is not good Hall size is so congested and smoke filled in hall,bad,,
"NOTHING Special in this Marriage Hall, Suffocated Ground Floor, The Food was not good even the tables arrangements are not good and ideal for setting",bad,,
It was a good experience but i was late so cant tell more. i will only say that it is a very good place for events.,neutral,,
Nice Sitting and crockery and the best thing is food was fresh,good,,
Last night we went to attend a mehndi ceremony & got highly disappointed by the food quality .it was simply pethetic .they must hire a good cheff to make food.,bad,,
I recently attended marriage ceremony at Al-Jannat Fort Marriage and their catering/ food is not so tasty compare to others. Some people may like it's reception/ food. It all depends on taste.,bad,,
Less parking Options. Good for a small event with limited audience,neutral,,
By name is means Heaven but by their attitude  towards society  is not like their name.as they have occupied  service lane.  Which has disturbed traffic and causes wastage of time for people.  They should arrange their parking lot.  And I do request LDA to look into this issue.,neutral,,
I went there for a dholki function. It was a small gathering. The hall was good and decently decorated. Management was good. The food was great in taste. Overall a great experience.,good,,
Superb venue for weeding ceremony,good,,
I really like it,neutral,,
al jannat fort very beautiful and lovely merrige hall,good,,
"Neat and clean crockery, well managed with power backup",neutral,,
I loved it but a difference that to arrange events here it took time so I give 4 star,good,,
Its a beautiful marriage hall here served many local dishes  . its provide good  service .,good,,
"Few years back, garrison golf and country club neighborhood had a new start of extravaganza wedding complexes.
Recently more event complexes had been added to the lot.
Majesty is one of those v huge complexes.
It has an installed capacity of catering about 500 guests at one time.

Beautfil interior
Extravagant and elegant exterior.
V prompt service and v good food.

Loving it truly",neutral,,
It's soo wonderful experience & everything settled is well being & her staff behavior is soo good ??,good,,
"Well I'm going to use some extra words to describe this place,
The place is usually used for wedding ceremonies and parties, but the beauty of the place is the grand wedding hall with stunning interior designs, the highlight being the gold platinum wall and the huge chandeliers with lights. Yes, it won't be wrong. It naturally looks like a palace.",neutral,,
It is excellent and marvelous banquet hall and the same is well decorated with excellant services and food quality is super fine and delicious one in short it is good choice to arrange family functions.,good,,
Dinner got 6.5 out of 10.but marquee was just owsme. Beautifully managed. 10 stars.,good,,
"Good architecture. Interior design is good as well. However sitting arrangement is congested for 250 or 300 guests. Stage isn't visible from main door because of its location. Food is average. Parking is fine. Another thing I'd like to add is that when you choose a wedding hall built consecutively next to other halls, your event doesn't gets the highlight it deserves and gets overshadowed by the similar happenings in the surroundings. Also, in a setting like this the guests arrive and depart at the same time which causes traffic delays.",neutral,,
Series of Weeding Halls. Impressive look. Food quality is just normal,good,,
Located next to gold & country club. Interior is inspired from old Mughal style,neutral,,
A nice wedding hall. Nice friendly staff. Excellent food,good,,
Excellent and ambiance. Food was also very good,good,,
"It's wass great ????
Food was delicious ??",good,,
Excellent place to celebrate wedding events.,good,,
luxuries event complex. Food is also good,neutral,,
Well manner staff. Food quality excellent. Interior decoration fantastic. Only thing that I dont like is their kashmiri tea.,good,,
"Beautiful Hall with beautiful ambiance and staff.
Food was awesome with good management.",good,,
A Beautiful event space.,good,,
"Ambiance is really nice, food is average.",neutral,,
"All is well
All good
Stay blessed
Allah Hafiz",good,,
V nice environment.i like it ver much,neutral,,
"Wonderful complex, most beautiful haal from Lahore",good,,
"Hall, seating arrangement, service and Food taste, all are extra ordinary ????
Highly Recommended",neutral,,
Very good experience good food quality n environment n out class managemnet all services was very perfect.highly recomended for ur adorable events,good,,
"Majesty Event Complex consist on many Halls. Very vast area in Lahore  Cantt is occupied by this business group. The halls are beautifully made and well decorated and equipped to serve the occasions. It's main attraction is its golden glitter. Perhaps, I will add one or two photos. But I remembered a very famous saying and which I must quote for the attention of the Management "" All that glitters is not Gold. "" This quote proved very much true when the dinner was served. I was shocked at the quality, taste and standard of the food served to us. Still there's time to secure your reputation by taking care of your food items or possibly by changing the chef.",neutral,,
Amazing experience food quality is so high,neutral,,
Very nice & beautiful place. Good arrangement & delicious food. Nice serving.,good,,
"Ambiance was good, food was pretty ordinary.",neutral,,
Very nice spacious and clean hall. Suitable for marriage parties . good car parking with wheelschair access.,good,,
"Fantastic very nicely decorated decent event place, food taste was also good",good,,
It was really a very good place to celebrate or gatter your love ones. Food quality and quality really ammazing,good,,
Kunna was  awesome ?? with live variety of  naan and great service,good,,
One of the new marriage halls. Very well decorated. Ample parking. Good food.,neutral,,
Nice place for wedding events food was good and large parking space,good,,
Attend a wedding there decor is very good neat and clean environment inside hall food is good as it was dinner here car park system is good welcome drink was too good as it was fresh juices ??,good,,
Wonderful place for organising events,good,,
a beautifull and well decorated place for any event,neutral,,
"Beautfil interior
Extravagant and elegant exterior.
Look like Noor Mehal",good,,
Food was not good even the taste was below than average.,bad,,
Very nice hall.,good,,
V good food n v beauty full looks out side n good staff,good,,
"Beautiful interior, magnificent decor , qualy food and cooperative staff...",good,,
Food was below average,bad,,
"Best place to celebrate your big day,
One of the most cooperative management & food quality was great.",good,,
